fpid,name,team,pos,bye,ecr,adp,ecr_vs_adp,rank_std,fp_tier
27810,Jahdae Walker,CHI,WR,10,459,,,32.97,15
12127,Odell Beckham Jr.,NYG,WR,8,460,,,6.00,15
27469,Jackson Hawes,BUF,TE,7,461,,,5.68,15
19471,Ty Chandler,NO,RB,8,462,,,18.86,15
19624,Antonio Gibson,FA,RB,,463,,,34.65,15
27066,Xavier Restrepo,TEN,WR,9,464,,,21.00,15
22976,Tyler Goodson,ATL,RB,11,465,,,38.18,15
27222,Theo Wease Jr.,MIA,WR,6,466,122.6,-343.4,69.00,15
25980,Frank Gore Jr.,BUF,RB,7,467,,,20.50,15
19423,Adam Trautman,DEN,TE,10,468,,,12.14,15
25373,Riley Leonard,IND,QB,13,469,,,30.64,15
25387,Roman Hemby,LV,RB,13,470,,,20.81,15
27499,Tanner Koziol,JAC,TE,7,471,,,11.14,15
23119,Elijah Higgins,ARI,TE,14,472,,,8.55,15
23172,Sincere McCormick,SF,RB,8,473,,,63.50,15
20114,Elijah Moore,PHI,WR,10,474,,,34.65,15
24173,Pierre Strong Jr.,GB,RB,11,475,,,17.50,15
28113,Dean Connors,LAR,RB,11,476,,,28.50,15
18566,David Sills V,TB,WR,10,477,,,20.50,15
26748,British Brooks,HOU,RB,8,478,,,19.50,15
23680,Quinn Ewers,MIA,QB,6,479,,,29.94,15
25267,Luke Schoonmaker,DAL,TE,14,480,,,17.76,15
18562,Gardner Minshew II,ARI,QB,14,481,,,13.30,15
14338,Raheem Mostert,LV,RB,13,482,,,47.50,16
19483,Van Jefferson,WAS,WR,7,483,,,29.50,16
17508,Durham Smythe,BAL,TE,13,484,,,11.00,16
25394,Jaydn Ott,KC,RB,5,485,,,18.50,16
28124,Cash Jones,ATL,RB,11,486,,,7.50,16
23341,Brock Wright,DET,TE,6,487,,,8.50,16
16427,JuJu Smith-Schuster,NYG,WR,8,488,,,23.00,16
17826,Tanner Hudson,CIN,TE,6,489,,,17.00,16
18561,Drew Sample,CIN,TE,6,490,,,14.00,16
28906,Miles Davis,CAR,RB,5,491,,,13.50,16
20082,Trey Lance,LAC,QB,7,492,,,0.50,16
