fpid,name,team,pos,bye,ecr,adp,ecr_vs_adp,rank_std,fp_tier
28130,Ted Hurst III,TB,WR,10,264,,,33.01,12
25388,Trey Benson,ARI,RB,14,265,,,40.15,12
26038,Chris Bell,MIA,WR,6,266,,,34.55,12
27097,DJ Giddens,IND,RB,13,267,,,23.93,12
23104,Theo Johnson,NYG,TE,8,268,,,27.61,12
27994,Malachi Fields,NYG,WR,8,269,,,30.29,12
16423,Samaje Perine,CIN,RB,6,270,,,43.54,12
23080,Marvin Mims Jr.,DEN,WR,10,271,,,22.59,12
18706,Darius Slayton,NYG,WR,8,272,,,28.69,12
16026,Wil Lutz,DEN,K,10,273,,,29.21,12
26341,Will Reichard,MIN,K,6,274,170.6,-103.4,31.78,12
23682,Devin Neal,NO,RB,8,275,,,31.03,12
19198,Tua Tagovailoa,ATL,QB,11,276,,,30.85,12
26005,Mason Taylor,NYJ,TE,13,277,,,23.74,12
26136,Xavier Legette,CAR,WR,5,278,,,31.50,12
19252,Brandon Aiyuk,SF,WR,8,279,,,58.80,12
27165,Kaleb Johnson,PIT,RB,9,280,,,32.39,12
27337,Ja'Kobi Lane,BAL,WR,13,281,,,44.20,12
26409,Devaughn Vele,NO,WR,8,282,,,22.45,12
25654,Emari Demercado,KC,RB,5,283,,,35.97,12
24360,Kendre Miller,NO,RB,8,284,,,38.40,12
8010,Atlanta Falcons,ATL,DST,11,285,,,34.11,12
17272,Mike Gesicki,CIN,TE,6,286,,,27.41,12
8270,San Francisco 49ers,SF,DST,8,287,,,32.23,12
18280,Devin Singletary,NYG,RB,8,288,,,26.28,12
18226,Hollywood Brown,PHI,WR,10,289,,,26.77,12
27487,Kyle Williams,NE,WR,11,290,,,34.73,12
25430,Oscar Delp,NO,TE,8,291,,,35.66,12
11616,Keenan Allen,LAC,WR,7,292,,,26.25,12
22973,Michael Penix Jr.,ATL,QB,11,293,,,21.71,12
15802,Tyreek Hill,FA,WR,,294,,,49.40,12
24367,Adam Randall,BAL,RB,13,295,,,27.86,12
16489,Mack Hollins,NE,WR,11,296,,,38.82,12
25968,Shedeur Sanders,CLE,QB,11,297,,,28.61,12
23079,Seth McGowan,IND,RB,13,298,,,31.72,12
27285,LeQuint Allen Jr.,JAC,RB,7,299,,,24.31,12
11177,Kirk Cousins,LV,QB,13,300,,,26.72,12
19302,Najee Harris,LAC,RB,7,301,,,28.58,12
16398,Deshaun Watson,CLE,QB,11,302,,,22.89,12
27259,Brashard Smith,KC,RB,5,303,,,20.99,13
28126,Skyler Bell,BUF,WR,7,304,,,35.71,13
24778,Jake Tonges,SF,TE,8,305,,,28.75,13
24371,Isaiah Bond,CLE,WR,11,306,,,27.04,13
22921,Jerome Ford,WAS,RB,7,307,,,22.62,13
25335,Andrei Iosivas,CIN,WR,6,308,,,33.88,13
26392,Isaac Guerendo,SF,RB,8,309,,,24.86,13
26444,Charlie Smyth,NO,K,8,310,,,36.43,13
25393,Trevor Etienne,CAR,RB,5,311,,,19.64,13
28135,Caleb Douglas,MIA,WR,6,312,,,48.58,13
8190,New Orleans Saints,NO,DST,8,313,,,40.57,13
26212,Tahj Brooks,CIN,RB,6,314,,,21.40,13
8050,Chicago Bears,CHI,DST,10,315,,,43.06,13
8130,Indianapolis Colts,IND,DST,13,316,,,30.42,13
28424,Cyrus Allen,KC,WR,5,317,,,48.30,13
22967,Darnell Washington,PIT,TE,9,318,,,30.10,13
24335,Jarquez Hunter,LAR,RB,11,319,,,18.52,13
25876,Jaleel McLaughlin,DEN,RB,10,320,,,23.15,13
23054,Audric Estime,NO,RB,8,321,,,16.74,13
26328,Luke McCaffrey,WAS,WR,7,322,,,24.59,13
22930,Will Shipley,PHI,RB,10,323,,,23.00,13
16420,Joe Mixon,FA,RB,,324,,,29.29,13
23770,Jalen Tolbert,MIA,WR,6,325,,,42.46,13
28047,Chris Brazzell II,CAR,WR,5,326,,,35.29,13
23018,J.J. McCarthy,MIN,QB,6,327,,,20.33,13
16425,Kareem Hunt,FA,RB,,328,,,18.71,13
25287,Cedric Tillman,CLE,WR,11,329,,,26.24,13
27449,Konata Mumpfield,LAR,WR,11,330,,,28.64,13
27147,Tez Johnson,TB,WR,10,331,,,31.39,13
27993,Max Klare,LAR,TE,11,332,,,26.88,13
15623,Tyler Higbee,LAR,TE,11,333,,,34.84,13
23056,Michael Mayer,LV,TE,13,334,,,31.78,13
23101,Jahan Dotson,ATL,WR,11,335,,,40.42,13
19229,Cole Kmet,CHI,TE,10,336,,,25.44,13
23739,Calvin Austin III,NYG,WR,8,337,,,32.27,13
23004,Elijah Arroyo,SEA,TE,11,338,,,26.56,13
27076,Jalen Royals,KC,WR,5,339,,,24.73,13
25304,DeMario Douglas,NE,WR,11,340,,,36.83,13
18864,Olamide Zaccheaus,ATL,WR,11,341,,,31.91,13
22953,Carson Beck,ARI,QB,14,342,,,21.81,13
18631,Dawson Knox,BUF,TE,7,343,,,34.25,13
19539,Noah Gray,KC,TE,5,344,,,28.69,13
24334,Ja'Tavion Sanders,CAR,TE,5,345,,,33.37,13
22845,Joshua Palmer,BUF,WR,7,346,,,41.21,14
22905,Treylon Burks,WAS,WR,7,347,,,34.51,14
20156,Mac Jones,SF,QB,8,348,,,20.92,14
8080,Dallas Cowboys,DAL,DST,14,349,,,56.91,14
28133,Brenen Thompson,LAC,WR,7,350,,,37.30,14
17066,Kendrick Bourne,ARI,WR,14,351,,,43.10,14
24901,Bam Knight,ARI,RB,14,352,,,25.67,14
28129,Bryce Lance,NO,WR,8,353,,,31.68,14
25368,Ty Simpson,LAR,QB,11,354,,,25.63,14
23837,Erick All Jr.,CIN,TE,6,355,,,32.17,14
